Time (s),Altitude (ft),"Vertical Speed (fps, +up)",Pitch (deg),Throttle,Fuel Mass (lbs),Lat Vel Body (fps),GridFin Cmd,Burn Phase
6.833333333333333,77543.58090091869,-468.0583283915891,40.04663611637538,0.0,300000.0,10.73476254436998,0.4557740918893858,0
6.841666666666667,77539.67929302901,-468.32384646236255,40.15945861905305,0.0,300000.0,10.798037760952152,0.45298242379132114,0
6.85,77535.77547249198,-468.5893641544896,40.27238930609267,0.0,300000.0,10.861571341307162,0.4501917609431032,0
6.858333333333333,77531.8694392927,-468.85488146709633,40.38542748845487,0.0,300000.0,10.925363498020035,0.44740212502743426,0
6.866666666666666,77527.96119344607,-469.1203983993082,40.49857247519018,0.0,300000.0,10.989414438203143,0.44461353774066426,0
6.875,77524.05073495582,-469.3859149502505,40.611823573441264,0.0,300000.0,11.05372436347262,0.44182602079256883,0
6.883333333333333,77520.13806380704,-469.65143111904683,40.72518008844529,0.0,300000.0,11.118293469922232,0.43903959590612596,0
6.891666666666667,77516.22318002582,-469.9169469048229,40.83864132353607,0.0,300000.0,11.183121948100613,0.43625428481729456,0
6.8999999999999995,77512.3060836047,-470.18246230670087,40.95220658014614,0.0,300000.0,11.248209982986404,0.4334701092747968,0
6.908333333333333,77508.3867745474,-470.4479773238045,41.06587515780917,0.0,300000.0,11.31355775396499,0.43068709103989156,0
6.916666666666667,77504.46525285393,-470.71349195525545,41.179646354161996,0.0,300000.0,11.379165434803914,0.42790525188615713,0
6.925,77500.54151853547,-470.97900620017697,41.293519464947,0.0,300000.0,11.445033193630398,0.42512461359926534,0
6.933333333333334,77496.61557158828,-471.24452005769064,41.407493784014164,0.0,300000.0,11.511161192908036,0.4223451979767643,0
6.941666666666666,77492.68741202354,-471.510033526917,41.5215686033232,0.0,300000.0,11.577549589412628,0.41956702682785607,0
6.95,77488.75703984126,-471.7755466069774,41.63574321294593,0.0,300000.0,11.644198534211464,0.41679012197317367,0
6.958333333333333,77484.82445503399,-472.0410592969919,41.75001690106827,0.0,300000.0,11.711108172639394,0.41401450524456207,0
6.966666666666667,77480.88965762034,-472.3065715960804,41.86438895399247,0.0,300000.0,11.778278644276126,0.4112401984848556,0
6.975,77476.95264759287,-472.57208350336214,41.978858656139195,0.0,300000.0,11.845710082925171,0.4084672235476593,0
6.983333333333333,77473.01342496648,-472.8375950179566,42.09342529004983,0.0,300000.0,11.913402616591657,0.40569560229712465,0
6.991666666666666,77469.07198972628,-473.1031061389831,42.20808813638841,0.0,300000.0,11.981356367460519,0.4029253566077329,0
7.0,77465.12834189087,-473.368616865558,42.32284647394378,0.0,300000.0,12.049571451875423,0.40015650836407346,0
7.008333333333333,77461.182481464,-473.6341271968014,42.43769957963182,0.0,300000.0,12.118047980316497,0.39738907946062163,0
7.016666666666667,77457.23440843448,-473.899637131829,42.55264672849738,0.0,300000.0,12.186786057381761,0.39462309180152266,0
7.0249999999999995,77453.28412282094,-474.1651466697585,42.667687193716375,0.0,300000.0,12.255785781763278,0.39185856730036983,0
7.033333333333333,77449.33162462339,-474.4306558097065,42.782820246597986,0.0,300000.0,12.325047246229737,0.3890955278799838,0
7.041666666666667,77445.37691384181,-474.69616455078943,42.89804515658656,0.0,300000.0,12.394570537604276,0.38633399547219605,0
7.05,77441.4199904725,-474.96167289212315,43.01336119126366,0.0,300000.0,12.464355736745404,0.38357399201762876,0
7.058333333333334,77437.46085453406,-475.2271808328228,43.128767616350025,0.0,300000.0,12.534402918526707,0.3808155394654785,0
