Time (s),Altitude (ft),"Vertical Speed (fps, +up)",Pitch (deg),Throttle,Fuel Mass (lbs),Lat Vel Body (fps),GridFin Cmd,Burn Phase
0.0,79997.91666137427,-250.26563895236782,-4.492533487567173e-12,0.0,300000.0,0.0002664953895892042,1.0,0
0.008333333333333333,79995.82907442749,-250.53127784951005,-4.61000498313743e-06,0.0,300000.0,0.0005333330461665652,1.0,0
0.016666666666666666,79993.74019866064,-250.79691670975538,-1.3840278836320813e-05,0.0,300000.0,0.0008003946124014868,1.0,0
0.025,79991.64910922572,-251.0625555331172,4.5993525097352046e-05,0.0,300000.0,0.0010677392218824155,1.0,0
0.03333333333333333,79989.55580613017,-251.3281943198761,0.00017504490948505293,0.0,300000.0,0.0013353668809517718,1.0,0
0.041666666666666664,79987.46028935909,-251.5938330703211,0.0003734675672690616,0.0,300000.0,0.0016032776992000442,1.0,0
0.05,79985.36255893484,-251.85947178474456,0.0006414153816743959,0.0,300000.0,0.0018714718924865543,1.0,0
0.058333333333333334,79983.26261484623,-252.1251104634427,0.0009790424263468123,0.0,300000.0,0.0021399497843621186,1.0,0
0.06666666666666667,79981.16045708582,-252.39074910671567,0.0013865029654605812,0.0,300000.0,0.0024087118064164102,1.0,0
0.075,79979.05608566105,-252.65638771486744,0.0018639514536720216,0.0,300000.0,0.0026777585003224394,1.0,0
0.08333333333333333,79976.94950057566,-252.92202628820522,0.0024115425363116184,0.0,300000.0,0.002947090518967151,1.0,0
0.09166666666666666,79974.84070182964,-253.18766482704086,0.003029431049379004,0.0,300000.0,0.003216708627614928,1.0,0
0.1,79972.72968941927,-253.45330333168982,0.003717772019746362,0.0,300000.0,0.0034866137064514463,1.0,0
0.10833333333333334,79970.61646334454,-253.71894180247122,0.004476720665094774,0.0,300000.0,0.0037568067499874837,1.0,0
0.11666666666666667,79968.50102361292,-253.984580120227,0.005306432392782043,0.0,300000.0,0.004027288869425963,1.0,0
0.125,79966.38337020949,-254.250218524122,0.006207062804779166,0.0,300000.0,0.004298061296330201,1.0,0
0.13333333333333333,79964.26350314543,-254.51585689513092,0.00717876769077854,0.0,300000.0,0.0045691253794723375,1.0,0
0.14166666666666666,79962.14142242819,-254.78149512247575,0.00822170303091558,0.0,300000.0,0.00484048258837542,1.0,0
0.15,79960.01712804288,-255.04713342860606,0.009336025001717273,0.0,300000.0,0.0051121345179784465,1.0,0
0.15833333333333333,79957.89062000066,-255.31277159915032,0.010521889964012472,0.0,300000.0,0.005384082883516186,1.0,0
0.16666666666666666,79955.76189829782,-255.57840984178225,0.011779454477751578,0.0,300000.0,0.005656329528875913,1.0,0
0.175,79953.63096293062,-255.84404792178998,0.013108875285125941,0.0,300000.0,0.0059288764204298225,1.0,0
0.18333333333333332,79951.49781390652,-256.10968610230015,0.014510309331480554,0.0,300000.0,0.006201725658673786,1.0,0
0.19166666666666665,79949.3624512218,-256.3753240896669,0.015983913739379157,0.0,300000.0,0.006474879466618,1.0,0
0.2,79947.22487487644,-256.6409622094611,0.0175298458408357,0.0,300000.0,0.006748340206026746,1.0,0
0.20833333333333334,79945.08508487791,-256.90660010204834,0.019148263138076008,0.0,300000.0,0.007022110363245982,1.0,0
0.21666666666666667,79942.94308121502,-257.1722380496975,0.020839323346633333,0.0,300000.0,0.007296192566641063,1.0,0
0.225,79940.79886389896,-257.4378759581956,0.022603184361155326,0.0,300000.0,0.007570589575224602,1.0,0
0.23333333333333334,79938.65243291855,-257.70351382744934,0.024440004271484926,0.0,300000.0,0.007845304286432285,1.0,0
0.24166666666666667,79936.50378829241,-257.9691516573654,0.026349941359625113,0.0,300000.0,0.008120339736367464,1.0,0
0.25,79934.35293000191,-258.2347894478494,0.028333154099724145,0.0,300000.0,0.008395699101638412,1.0,0
0.2583333333333333,79932.19985805452,-258.5004271988078,0.030389801158174305,0.0,300000.0,0.0086713857001424,1.0,0
0.26666666666666666,79930.0445724465,-258.76606491014593,0.03252004139373988,0.0,300000.0,0.00894740299274049,1.0,0
0.275,79927.88707318902,-259.03170258176874,0.034724033857547514,0.0,300000.0,0.009223754586021402,1.0,0
0.2833333333333333,79925.72736027092,-259.2973402135813,0.03700193779326162,0.0,300000.0,0.009500444232148339,1.0,0
0.2916666666666667,79923.56543369964,-259.56297780548783,0.03935391263707135,0.0,300000.0,0.009777475831676085,1.0,0
0.3,79921.40129347146,-259.8286153573925,0.041780118017835696,0.0,300000.0,0.010054853434619777,1.0,0
0.30833333333333335,79919.23493959382,-260.09425286919895,0.04428071375712126,0.0,300000.0,0.010332581241904516,1.0,0
0.31666666666666665,79917.06637205184,-260.3598903408107,0.04685585986929011,0.0,300000.0,0.010610663607504156,1.0,0
0.325,79914.89559086412,-260.6255277721309,0.04950571656160439,0.0,300000.0,0.010889105038855084,1.0,0
0.3333333333333333,79912.72259601578,-260.89116516306206,0.052230444234279326,0.0,300000.0,0.01116791020057348,1.0,0
0.3416666666666667,79910.54738751799,-261.1568025135065,0.055030203480510055,0.0,300000.0,0.011447083914105543,1.0,0
0.35,79908.36996536702,-261.42243982336623,0.057905155086642575,0.0,300000.0,0.011726631160454701,1.0,0
0.35833333333333334,79906.19032956287,-261.6880770925431,0.060855460032247004,0.0,300000.0,0.012006557080711494,1.0,0
0.36666666666666664,79904.00848010555,-261.9537143209378,0.06388127949009964,0.0,300000.0,0.012286866979369534,1.0,0
0.375,79901.82441699505,-262.219351508452,0.06698277482629479,0.0,300000.0,0.012567566324273903,1.0,0
